ProductID,Date,Zip,Units,Revenue,Country
100,2020-03-12,700001,1,1039.5,Nigeria
100,2020-03-31,700001,1,1039.5,Nigeria
100,2020-04-14,101001,1,1039.5,Nigeria
100,2020-04-30,700001,1,1039.5,Nigeria
100,2020-05-19,500001,1,1039.5,Nigeria
100,2020-05-19,700001,1,1039.5,Nigeria
100,2020-05-24,101001,1,1039.5,Nigeria
100,2020-05-29,500001,1,1039.5,Nigeria
1000,2020-01-02,500001,1,89.2,Nigeria
1000,2020-01-05,700001,1,89.2,Nigeria
1000,2020-01-21,500001,1,89.2,Nigeria
1000,2020-02-25,101001,1,91.82,Nigeria
1000,2020-03-05,101001,1,89.2,Nigeria
1000,2020-03-10,500001,1,91.82,Nigeria
1000,2020-04-05,101001,1,89.2,Nigeria
1000,2020-04-26,500001,1,91.82,Nigeria
1000,2020-04-26,700001,1,91.82,Nigeria
1000,2020-04-27,700001,1,89.2,Nigeria
1000,2020-04-27,700001,1,91.82,Nigeria
1000,2020-04-28,101001,1,97.07,Nigeria
1000,2020-04-30,101001,1,91.82,Nigeria
1000,2020-05-07,500001,1,89.2,Nigeria
1000,2020-05-12,700001,1,91.82,Nigeria
1000,2020-05-18,101001,1,91.82,Nigeria
1000,2020-05-18,700001,1,97.07,Nigeria
1000,2020-05-22,500001,1,91.82,Nigeria
1000,2020-05-25,101001,1,91.82,Nigeria
1000,2020-05-28,700001,1,89.2,Nigeria
1000,2020-06-07,700001,1,91.82,Nigeria
1000,2020-06-11,101001,1,91.82,Nigeria
1000,2020-06-14,700001,2,194.15,Nigeria
1000,2020-06-21,500001,1,97.07,Nigeria
1000,2020-06-22,500001,2,178.4,Nigeria
1000,2020-06-24,700001,1,91.82,Nigeria
1000,2020-06-28,101001,1,97.07,Nigeria
1000,2020-06-29,101001,1,89.2,Nigeria
1000,2020-06-29,101001,1,91.82,Nigeria
1000,2020-06-29,500001,1,89.2,Nigeria
1000,2020-06-29,700001,1,89.2,Nigeria
